Image dimensions: 28 x 28
Loaded 10000 images
Model created with 2 layers
Layer 0: 784 inputs, 8 neurons
Image 1304: Predicted digit = 0, Confidence = 0.9993
Image 1305: Predicted digit = 0, Confidence = 0.9973
Image 1306: Predicted digit = 0, Confidence = 0.9877
Image 1307: Predicted digit = 0, Confidence = 0.9838
Image 1308: Predicted digit = 0, Confidence = 0.9967
Image 1309: Predicted digit = 0, Confidence = 0.9923
Image 1310: Predicted digit = 0, Confidence = 0.9997
Image 1311: Predicted digit = 0, Confidence = 0.1592
Image 1312: Predicted digit = 0, Confidence = 0.9821
Image 1313: Predicted digit = 0, Confidence = 0.7078
Image 1314: Predicted digit = 0, Confidence = 0.9903
Image 1315: Predicted digit = 0, Confidence = 0.9991
Image 1316: Predicted digit = 0, Confidence = 0.9998
Image 1317: Predicted digit = 0, Confidence = 0.9990
Image 1318: Predicted digit = 0, Confidence = 1.0000
Image 1319: Predicted digit = 0, Confidence = 1.0000
Image 1320: Predicted digit = 0, Confidence = 0.9998
Image 1321: Predicted digit = 0, Confidence = 0.4999
Image 1322: Predicted digit = 0, Confidence = 0.9666
Image 1323: Predicted digit = 0, Confidence = 0.9943
Image 1324: Predicted digit = 0, Confidence = 0.9907
Image 1325: Predicted digit = 0, Confidence = 1.0000
Image 1326: Predicted digit = 0, Confidence = 0.9978
Image 1327: Predicted digit = 0, Confidence = 0.9988
Image 1328: Predicted digit = 0, Confidence = 0.9791
Image 1329: Predicted digit = 0, Confidence = 0.9990
Image 1330: Predicted digit = 0, Confidence = 0.9982
Image 1331: Predicted digit = 0, Confidence = 1.0000
Image 1332: Predicted digit = 0, Confidence = 0.9304
Image 1333: Predicted digit = 0, Confidence = 1.0000
Image 1334: Predicted digit = 0, Confidence = 0.9975
Image 1335: Predicted digit = 0, Confidence = 0.9885
Image 1336: Predicted digit = 0, Confidence = 0.9695
Image 1337: Predicted digit = 0, Confidence = 1.0000
Image 1338: Predicted digit = 0, Confidence = 1.0000
Image 1339: Predicted digit = 0, Confidence = 0.9169
Image 1340: Predicted digit = 0, Confidence = 1.0000
Image 1341: Predicted digit = 0, Confidence = 1.0000
Image 1342: Predicted digit = 0, Confidence = 0.7101
Image 1343: Predicted digit = 0, Confidence = 0.9908
Image 1344: Predicted digit = 0, Confidence = 1.0000
Image 1345: Predicted digit = 0, Confidence = 0.9999
Image 1346: Predicted digit = 0, Confidence = 0.9988
Image 1347: Predicted digit = 0, Confidence = 0.9868
Image 1348: Predicted digit = 0, Confidence = 1.0000
Image 1349: Predicted digit = 0, Confidence = 0.9732
Image 1350: Predicted digit = 0, Confidence = 1.0000
Image 1351: Predicted digit = 0, Confidence = 0.9980
Image 1352: Predicted digit = 0, Confidence = 0.9998
Image 1353: Predicted digit = 0, Confidence = 0.9999
Image 1354: Predicted digit = 0, Confidence = 1.0000
Image 1355: Predicted digit = 0, Confidence = 1.0000
Image 1356: Predicted digit = 0, Confidence = 1.0000
Image 1357: Predicted digit = 0, Confidence = 0.2434
Image 1358: Predicted digit = 0, Confidence = 0.9980
Image 1359: Predicted digit = 0, Confidence = 0.9901
Image 1360: Predicted digit = 0, Confidence = 1.0000
Image 1361: Predicted digit = 0, Confidence = 0.9939
Image 1362: Predicted digit = 0, Confidence = 0.4964
Image 1363: Predicted digit = 0, Confidence = 0.9150
Image 1364: Predicted digit = 0, Confidence = 0.9995
Image 1365: Predicted digit = 0, Confidence = 1.0000
Image 1366: Predicted digit = 0, Confidence = 1.0000
Image 1367: Predicted digit = 0, Confidence = 0.9997
Image 1368: Predicted digit = 0, Confidence = 0.9430
Image 1369: Predicted digit = 0, Confidence = 0.9173
Image 1370: Predicted digit = 0, Confidence = 0.3540
Image 1371: Predicted digit = 0, Confidence = 0.9998
Image 1372: Predicted digit = 0, Confidence = 0.9124
Image 1373: Predicted digit = 0, Confidence = 0.9993
Image 1374: Predicted digit = 0, Confidence = 0.6951
Image 1375: Predicted digit = 0, Confidence = 0.9996
Image 1376: Predicted digit = 0, Confidence = 0.3570
Image 1377: Predicted digit = 0, Confidence = 1.0000
Image 1378: Predicted digit = 0, Confidence = 0.9857
Image 1379: Predicted digit = 0, Confidence = 1.0000
Image 1380: Predicted digit = 0, Confidence = 0.9993
Image 1381: Predicted digit = 0, Confidence = 0.6971
Image 1382: Predicted digit = 0, Confidence = 0.9917
Image 1383: Predicted digit = 0, Confidence = 1.0000
Image 1384: Predicted digit = 0, Confidence = 0.9983
Image 1385: Predicted digit = 0, Confidence = 1.0000
Image 1386: Predicted digit = 0, Confidence = 1.0000
Image 1387: Predicted digit = 0, Confidence = 1.0000
Image 1388: Predicted digit = 0, Confidence = 0.9999
Image 1389: Predicted digit = 0, Confidence = 0.9993
Image 1390: Predicted digit = 0, Confidence = 1.0000
Image 1391: Predicted digit = 0, Confidence = 0.9992
Image 1392: Predicted digit = 0, Confidence = 1.0000
Image 1393: Predicted digit = 0, Confidence = 0.4975
Image 1394: Predicted digit = 0, Confidence = 0.8197
Image 1395: Predicted digit = 0, Confidence = 0.9999
Image 1396: Predicted digit = 0, Confidence = 1.0000
Image 1397: Predicted digit = 0, Confidence = 1.0000
Image 1398: Predicted digit = 0, Confidence = 0.9900
Image 1399: Predicted digit = 0, Confidence = 0.9985
Image 1400: Predicted digit = 0, Confidence = 0.9986
Image 1401: Predicted digit = 0, Confidence = 0.9987
Image 1402: Predicted digit = 0, Confidence = 0.9984
Image 1403: Predicted digit = 0, Confidence = 0.8153
Image 1404: Predicted digit = 0, Confidence = 0.9998
Image 1405: Predicted digit = 0, Confidence = 0.9963
Image 1406: Predicted digit = 0, Confidence = 0.9836
Image 1407: Predicted digit = 0, Confidence = 0.9919
Image 1408: Predicted digit = 0, Confidence = 1.0000
Image 1409: Predicted digit = 0, Confidence = 0.9979
Image 1410: Predicted digit = 0, Confidence = 0.9889
Image 1411: Predicted digit = 0, Confidence = 1.0000
Image 1412: Predicted digit = 0, Confidence = 0.8432
Image 1413: Predicted digit = 0, Confidence = 0.9998
Image 1414: Predicted digit = 0, Confidence = 0.8930
Image 1415: Predicted digit = 0, Confidence = 0.9999
Image 1416: Predicted digit = 0, Confidence = 0.9997
Image 1417: Predicted digit = 0, Confidence = 0.8904
Image 1418: Predicted digit = 0, Confidence = 0.9966
Image 1419: Predicted digit = 0, Confidence = 0.9752
Image 1420: Predicted digit = 0, Confidence = 0.9993
Image 1421: Predicted digit = 0, Confidence = 0.9978
Image 1422: Predicted digit = 0, Confidence = 0.9997
Image 1423: Predicted digit = 0, Confidence = 0.2296
Image 1424: Predicted digit = 0, Confidence = 0.9997
Image 1425: Predicted digit = 0, Confidence = 1.0000
Image 1426: Predicted digit = 0, Confidence = 1.0000
Image 1427: Predicted digit = 0, Confidence = 0.7504
Image 1428: Predicted digit = 0, Confidence = 0.9999
Image 1429: Predicted digit = 0, Confidence = 1.0000
Image 1430: Predicted digit = 0, Confidence = 1.0000
Image 1431: Predicted digit = 0, Confidence = 0.9839
Image 1432: Predicted digit = 0, Confidence = 0.9940
Image 1433: Predicted digit = 0, Confidence = 0.9757
Image 1434: Predicted digit = 0, Confidence = 0.9998
Image 1435: Predicted digit = 0, Confidence = 1.0000
Image 1436: Predicted digit = 0, Confidence = 0.9997
Image 1437: Predicted digit = 0, Confidence = 0.8511
Image 1438: Predicted digit = 0, Confidence = 1.0000
Image 1439: Predicted digit = 0, Confidence = 0.9587
Image 1440: Predicted digit = 0, Confidence = 0.9735
Image 1441: Predicted digit = 0, Confidence = 1.0000
Image 1442: Predicted digit = 0, Confidence = 0.9295
Image 1443: Predicted digit = 0, Confidence = 0.9934
Image 1444: Predicted digit = 0, Confidence = 0.9999
Image 1445: Predicted digit = 0, Confidence = 1.0000
Image 1446: Predicted digit = 0, Confidence = 0.9996
Image 1447: Predicted digit = 6, Confidence = 0.1212
Image 1448: Predicted digit = 0, Confidence = 0.9980
Image 1449: Predicted digit = 0, Confidence = 0.9990
Image 1450: Predicted digit = 0, Confidence = 0.9999
Image 1451: Predicted digit = 0, Confidence = 0.9998
Image 1452: Predicted digit = 0, Confidence = 0.9838
Image 1453: Predicted digit = 0, Confidence = 0.9921
Image 1454: Predicted digit = 0, Confidence = 0.9609
Image 1455: Predicted digit = 0, Confidence = 0.9607
Image 1456: Predicted digit = 0, Confidence = 1.0000
Image 1457: Predicted digit = 0, Confidence = 1.0000
Image 1458: Predicted digit = 0, Confidence = 1.0000
Image 1459: Predicted digit = 0, Confidence = 1.0000
Image 1460: Predicted digit = 0, Confidence = 0.9998
Image 1461: Predicted digit = 0, Confidence = 1.0000
Image 1462: Predicted digit = 0, Confidence = 0.9896
Image 1463: Predicted digit = 0, Confidence = 0.9999
Image 1464: Predicted digit = 0, Confidence = 0.9754
Image 1465: Predicted digit = 0, Confidence = 0.9996
Image 1466: Predicted digit = 0, Confidence = 1.0000
Image 1467: Predicted digit = 0, Confidence = 0.9995
Image 1468: Predicted digit = 0, Confidence = 0.8635
Image 1469: Predicted digit = 0, Confidence = 0.7969
Image 1470: Predicted digit = 0, Confidence = 0.7380
Image 1471: Predicted digit = 0, Confidence = 0.9989
Image 1472: Predicted digit = 0, Confidence = 1.0000
Image 1473: Predicted digit = 0, Confidence = 0.9918
Image 1474: Predicted digit = 0, Confidence = 0.9785
Image 1475: Predicted digit = 0, Confidence = 0.9191
Image 1476: Predicted digit = 0, Confidence = 1.0000
Image 1477: Predicted digit = 0, Confidence = 1.0000
Image 1478: Predicted digit = 0, Confidence = 0.9978
Image 1479: Predicted digit = 0, Confidence = 0.9959
Image 1480: Predicted digit = 0, Confidence = 1.0000
Image 1481: Predicted digit = 0, Confidence = 0.8788
Image 1482: Predicted digit = 0, Confidence = 1.0000
Image 1483: Predicted digit = 0, Confidence = 0.9995
Image 1484: Predicted digit = 0, Confidence = 0.9797
Image 1485: Predicted digit = 0, Confidence = 0.9869
Image 1486: Predicted digit = 0, Confidence = 0.9995
Image 1487: Predicted digit = 0, Confidence = 0.9926
Image 1488: Predicted digit = 0, Confidence = 0.8242
Image 1489: Predicted digit = 0, Confidence = 1.0000
Image 1490: Predicted digit = 0, Confidence = 1.0000
Image 1491: Predicted digit = 0, Confidence = 1.0000
Image 1492: Predicted digit = 0, Confidence = 0.9997
Image 1493: Predicted digit = 0, Confidence = 0.9830
Image 1494: Predicted digit = 0, Confidence = 0.9653
Image 1495: Predicted digit = 0, Confidence = 0.6708
Image 1496: Predicted digit = 0, Confidence = 0.9964
Image 1497: Predicted digit = 0, Confidence = 1.0000
Image 1498: Predicted digit = 0, Confidence = 1.0000
Image 1499: Predicted digit = 0, Confidence = 0.7610
Image 1500: Predicted digit = 0, Confidence = 0.9901
Image 1501: Predicted digit = 0, Confidence = 1.0000
Image 1502: Predicted digit = 0, Confidence = 1.0000
Image 1503: Predicted digit = 0, Confidence = 0.9575
Image 1504: Predicted digit = 0, Confidence = 0.9996
Image 1505: Predicted digit = 0, Confidence = 0.9630
Image 1506: Predicted digit = 0, Confidence = 0.9495
Image 1507: Predicted digit = 0, Confidence = 0.9997
Image 1508: Predicted digit = 0, Confidence = 0.9991
Image 1509: Predicted digit = 0, Confidence = 0.3933
Image 1510: Predicted digit = 0, Confidence = 0.9991
Image 1511: Predicted digit = 0, Confidence = 0.5995
Image 1512: Predicted digit = 0, Confidence = 1.0000
Image 1513: Predicted digit = 0, Confidence = 1.0000
Image 1514: Predicted digit = 0, Confidence = 0.9991
Image 1515: Predicted digit = 0, Confidence = 0.9997
Image 1516: Predicted digit = 0, Confidence = 0.9827
Image 1517: Predicted digit = 0, Confidence = 1.0000
Image 1518: Predicted digit = 0, Confidence = 0.9992
Image 1519: Predicted digit = 0, Confidence = 0.9985
Image 1520: Predicted digit = 0, Confidence = 1.0000
Image 1521: Predicted digit = 0, Confidence = 0.9936
Image 1522: Predicted digit = 0, Confidence = 0.9999
Image 1523: Predicted digit = 0, Confidence = 0.9904
Image 1524: Predicted digit = 0, Confidence = 0.9997
Image 1525: Predicted digit = 0, Confidence = 1.0000
Image 1526: Predicted digit = 0, Confidence = 0.9998
Image 1527: Predicted digit = 0, Confidence = 1.0000
Image 1528: Predicted digit = 0, Confidence = 0.9992
Image 1529: Predicted digit = 0, Confidence = 0.9994
Image 1530: Predicted digit = 0, Confidence = 0.9999
Image 1531: Predicted digit = 0, Confidence = 0.9680
Image 1532: Predicted digit = 0, Confidence = 0.9844
Image 1533: Predicted digit = 0, Confidence = 0.9222
Image 1534: Predicted digit = 0, Confidence = 0.9999
Image 1535: Predicted digit = 0, Confidence = 0.9997
Image 1536: Predicted digit = 0, Confidence = 0.9601
Image 1537: Predicted digit = 0, Confidence = 1.0000
Image 1538: Predicted digit = 0, Confidence = 0.9995
Image 1539: Predicted digit = 0, Confidence = 0.9899
Image 1540: Predicted digit = 0, Confidence = 0.9995
Image 1541: Predicted digit = 0, Confidence = 0.9427
Image 1542: Predicted digit = 0, Confidence = 0.9988
Image 1543: Predicted digit = 0, Confidence = 1.0000
Image 1544: Predicted digit = 0, Confidence = 0.9348
Image 1545: Predicted digit = 0, Confidence = 0.9992
Image 1546: Predicted digit = 0, Confidence = 0.9995
Image 1547: Predicted digit = 0, Confidence = 0.9904
Image 1548: Predicted digit = 0, Confidence = 1.0000
Image 1549: Predicted digit = 0, Confidence = 1.0000
Image 1550: Predicted digit = 0, Confidence = 0.9944
Image 1551: Predicted digit = 0, Confidence = 0.9256
Image 1552: Predicted digit = 0, Confidence = 0.5189
Image 1553: Predicted digit = 0, Confidence = 1.0000
Image 1554: Predicted digit = 0, Confidence = 1.0000
Image 1555: Predicted digit = 0, Confidence = 0.9999
Image 1556: Predicted digit = 0, Confidence = 1.0000
Image 1557: Predicted digit = 0, Confidence = 0.6330
Image 1558: Predicted digit = 0, Confidence = 1.0000
Image 1559: Predicted digit = 0, Confidence = 0.9941
Image 1560: Predicted digit = 0, Confidence = 0.9353
Image 1561: Predicted digit = 0, Confidence = 0.9843
Image 1562: Predicted digit = 0, Confidence = 0.8940
Image 1563: Predicted digit = 0, Confidence = 1.0000
Image 1564: Predicted digit = 0, Confidence = 1.0000
Image 1565: Predicted digit = 0, Confidence = 0.9999
Image 1566: Predicted digit = 0, Confidence = 1.0000
Image 1567: Predicted digit = 0, Confidence = 0.9997
Image 1568: Predicted digit = 0, Confidence = 1.0000
Image 1569: Predicted digit = 0, Confidence = 0.9410
Image 1570: Predicted digit = 0, Confidence = 0.9998
Image 1571: Predicted digit = 0, Confidence = 0.9678
Image 1572: Predicted digit = 0, Confidence = 1.0000
Image 1573: Predicted digit = 0, Confidence = 1.0000
Image 1574: Predicted digit = 0, Confidence = 0.9981
Image 1575: Predicted digit = 0, Confidence = 0.9966
Image 1576: Predicted digit = 0, Confidence = 0.9891
Image 1577: Predicted digit = 0, Confidence = 1.0000
Image 1578: Predicted digit = 0, Confidence = 0.9885
Image 1579: Predicted digit = 0, Confidence = 0.9951
Image 1580: Predicted digit = 0, Confidence = 0.9953
Image 1581: Predicted digit = 0, Confidence = 0.9999
Image 1582: Predicted digit = 0, Confidence = 0.9591
Image 1583: Predicted digit = 0, Confidence = 1.0000
Image 1584: Predicted digit = 0, Confidence = 0.9373
Image 1585: Predicted digit = 0, Confidence = 0.9980
Image 1586: Predicted digit = 0, Confidence = 0.8851
Image 1587: Predicted digit = 0, Confidence = 0.9989
Image 1588: Predicted digit = 0, Confidence = 1.0000
Image 1589: Predicted digit = 0, Confidence = 0.8963
Image 1590: Predicted digit = 0, Confidence = 0.9940
Image 1591: Predicted digit = 0, Confidence = 0.9999
Image 1592: Predicted digit = 0, Confidence = 0.9991
Image 1593: Predicted digit = 0, Confidence = 0.9684
Image 1594: Predicted digit = 0, Confidence = 1.0000
Image 1595: Predicted digit = 6, Confidence = 0.1326
Image 1596: Predicted digit = 0, Confidence = 0.9990
Image 1597: Predicted digit = 0, Confidence = 0.9996
Image 1598: Predicted digit = 0, Confidence = 0.9403
Image 1599: Predicted digit = 0, Confidence = 0.9165
Image 1600: Predicted digit = 0, Confidence = 0.9940
Image 1601: Predicted digit = 0, Confidence = 0.9947
Image 1602: Predicted digit = 0, Confidence = 0.7781
Image 1603: Predicted digit = 0, Confidence = 1.0000
Image 1604: Predicted digit = 0, Confidence = 0.9917
Image 1605: Predicted digit = 6, Confidence = 0.1313
Image 1606: Predicted digit = 0, Confidence = 1.0000
Image 1607: Predicted digit = 0, Confidence = 0.9999
Image 1608: Predicted digit = 0, Confidence = 1.0000
Image 1609: Predicted digit = 0, Confidence = 0.9927
Image 1610: Predicted digit = 0, Confidence = 0.9998
Image 1611: Predicted digit = 0, Confidence = 0.9985
Image 1612: Predicted digit = 0, Confidence = 0.9809
Image 1613: Predicted digit = 0, Confidence = 1.0000
Image 1614: Predicted digit = 0, Confidence = 1.0000
Image 1615: Predicted digit = 7, Confidence = 0.1543
Image 1616: Predicted digit = 0, Confidence = 1.0000
Image 1617: Predicted digit = 0, Confidence = 0.4468
Image 1618: Predicted digit = 0, Confidence = 1.0000
Image 1619: Predicted digit = 0, Confidence = 1.0000
Image 1620: Predicted digit = 0, Confidence = 1.0000
Image 1621: Predicted digit = 0, Confidence = 1.0000
Image 1622: Predicted digit = 0, Confidence = 0.9426
Image 1623: Predicted digit = 0, Confidence = 1.0000
Image 1624: Predicted digit = 0, Confidence = 0.9986
Image 1625: Predicted digit = 0, Confidence = 0.9940
Image 1626: Predicted digit = 0, Confidence = 0.5779
Image 1627: Predicted digit = 0, Confidence = 1.0000
Image 1628: Predicted digit = 0, Confidence = 0.9999
Image 1629: Predicted digit = 0, Confidence = 0.7999
Image 1630: Predicted digit = 0, Confidence = 0.9999
Image 1631: Predicted digit = 0, Confidence = 1.0000
Image 1632: Predicted digit = 0, Confidence = 0.9994
Image 1633: Predicted digit = 0, Confidence = 0.9998
Image 1634: Predicted digit = 0, Confidence = 0.9998
Image 1635: Predicted digit = 0, Confidence = 0.9957
Image 1636: Predicted digit = 0, Confidence = 0.2832
Image 1637: Predicted digit = 0, Confidence = 0.9508
Image 1638: Predicted digit = 0, Confidence = 0.9710
Image 1639: Predicted digit = 0, Confidence = 0.9942
Image 1640: Predicted digit = 0, Confidence = 0.9999
Image 1641: Predicted digit = 0, Confidence = 0.9977
Image 1642: Predicted digit = 0, Confidence = 0.9985
Image 1643: Predicted digit = 0, Confidence = 0.9997
Image 1644: Predicted digit = 0, Confidence = 0.9012
Image 1645: Predicted digit = 0, Confidence = 1.0000
Image 1646: Predicted digit = 0, Confidence = 0.9995
Image 1647: Predicted digit = 0, Confidence = 0.9705
Image 1648: Predicted digit = 0, Confidence = 0.9998
Image 1649: Predicted digit = 0, Confidence = 0.9992
Image 1650: Predicted digit = 0, Confidence = 1.0000
Image 1651: Predicted digit = 0, Confidence = 0.9993
Image 1652: Predicted digit = 0, Confidence = 0.9973
Image 1653: Predicted digit = 0, Confidence = 0.9999
Image 1654: Predicted digit = 0, Confidence = 0.9903
Image 1655: Predicted digit = 0, Confidence = 0.9722
Image 1656: Predicted digit = 0, Confidence = 0.9885
Image 1657: Predicted digit = 0, Confidence = 0.9959
Image 1658: Predicted digit = 0, Confidence = 0.9994
Image 1659: Predicted digit = 0, Confidence = 0.9969
Image 1660: Predicted digit = 0, Confidence = 0.9993
Image 1661: Predicted digit = 0, Confidence = 0.2272
Image 1662: Predicted digit = 0, Confidence = 1.0000
Image 1663: Predicted digit = 0, Confidence = 0.9818
Image 1664: Predicted digit = 0, Confidence = 0.9744
Image 1665: Predicted digit = 0, Confidence = 0.9976
Image 1666: Predicted digit = 0, Confidence = 0.9959
Image 1667: Predicted digit = 0, Confidence = 1.0000
Image 1668: Predicted digit = 0, Confidence = 0.9997
Image 1669: Predicted digit = 0, Confidence = 0.9987
Image 1670: Predicted digit = 0, Confidence = 0.9957
Image 1671: Predicted digit = 0, Confidence = 1.0000
Image 1672: Predicted digit = 0, Confidence = 0.9998
Image 1673: Predicted digit = 0, Confidence = 1.0000
Image 1674: Predicted digit = 0, Confidence = 0.9998
Image 1675: Predicted digit = 0, Confidence = 0.9574
Image 1676: Predicted digit = 0, Confidence = 0.9243
Image 1677: Predicted digit = 0, Confidence = 0.9907
Image 1678: Predicted digit = 0, Confidence = 0.9983
Image 1679: Predicted digit = 0, Confidence = 0.6450
Image 1680: Predicted digit = 0, Confidence = 0.7003
Image 1681: Predicted digit = 0, Confidence = 0.9996
Image 1682: Predicted digit = 0, Confidence = 0.9912
Image 1683: Predicted digit = 0, Confidence = 0.5061
Image 1684: Predicted digit = 0, Confidence = 0.9759
Image 1685: Predicted digit = 0, Confidence = 0.9756
Image 1686: Predicted digit = 0, Confidence = 0.9999
Image 1687: Predicted digit = 0, Confidence = 1.0000
Image 1688: Predicted digit = 0, Confidence = 0.9469
Image 1689: Predicted digit = 0, Confidence = 1.0000
Image 1690: Predicted digit = 0, Confidence = 0.9682
Image 1691: Predicted digit = 0, Confidence = 0.9999
Image 1692: Predicted digit = 0, Confidence = 0.9944
Image 1693: Predicted digit = 0, Confidence = 0.9703
Image 1694: Predicted digit = 0, Confidence = 0.9634
Image 1695: Predicted digit = 0, Confidence = 0.9993
Image 1696: Predicted digit = 0, Confidence = 0.9999
Image 1697: Predicted digit = 0, Confidence = 0.9991
Image 1698: Predicted digit = 6, Confidence = 0.1306
Image 1699: Predicted digit = 0, Confidence = 0.8289
Image 1700: Predicted digit = 0, Confidence = 1.0000
Image 1701: Predicted digit = 0, Confidence = 0.9111
Image 1702: Predicted digit = 0, Confidence = 0.9994
Image 1703: Predicted digit = 0, Confidence = 0.9989
Image 1704: Predicted digit = 0, Confidence = 0.9994
Image 1705: Predicted digit = 0, Confidence = 0.9425
Image 1706: Predicted digit = 0, Confidence = 0.6940
Image 1707: Predicted digit = 0, Confidence = 1.0000
Image 1708: Predicted digit = 0, Confidence = 0.9633
Image 1709: Predicted digit = 0, Confidence = 0.9994
Image 1710: Predicted digit = 0, Confidence = 1.0000
Image 1711: Predicted digit = 0, Confidence = 0.6317
Image 1712: Predicted digit = 0, Confidence = 0.9999
Image 1713: Predicted digit = 0, Confidence = 1.0000
Image 1714: Predicted digit = 0, Confidence = 0.9958
Image 1715: Predicted digit = 0, Confidence = 0.9996
Image 1716: Predicted digit = 0, Confidence = 0.9960
Image 1717: Predicted digit = 0, Confidence = 1.0000
Image 1718: Predicted digit = 0, Confidence = 0.9644
Image 1719: Predicted digit = 0, Confidence = 1.0000
Image 1720: Predicted digit = 0, Confidence = 0.9993
Image 1721: Predicted digit = 0, Confidence = 1.0000
Image 1722: Predicted digit = 0, Confidence = 0.9564
Image 1723: Predicted digit = 0, Confidence = 1.0000
Image 1724: Predicted digit = 0, Confidence = 0.9979
Image 1725: Predicted digit = 0, Confidence = 0.2846
Image 1726: Predicted digit = 0, Confidence = 0.9831
Image 1727: Predicted digit = 0, Confidence = 0.9998
Image 1728: Predicted digit = 0, Confidence = 1.0000
Image 1729: Predicted digit = 0, Confidence = 1.0000
Image 1730: Predicted digit = 0, Confidence = 0.9994
Image 1731: Predicted digit = 0, Confidence = 0.9913
Image 1732: Predicted digit = 0, Confidence = 0.9881
Image 1733: Predicted digit = 0, Confidence = 0.7983
Image 1734: Predicted digit = 0, Confidence = 0.8330
Image 1735: Predicted digit = 0, Confidence = 0.9865
Image 1736: Predicted digit = 0, Confidence = 1.0000
Image 1737: Predicted digit = 0, Confidence = 0.9502
Image 1738: Predicted digit = 0, Confidence = 0.9999
Image 1739: Predicted digit = 0, Confidence = 0.9708
Image 1740: Predicted digit = 0, Confidence = 0.9990
Image 1741: Predicted digit = 0, Confidence = 0.9998
Image 1742: Predicted digit = 0, Confidence = 0.9994
Image 1743: Predicted digit = 0, Confidence = 1.0000
Image 1744: Predicted digit = 0, Confidence = 0.9946
Image 1745: Predicted digit = 0, Confidence = 0.9925
Image 1746: Predicted digit = 0, Confidence = 0.9999
Image 1747: Predicted digit = 0, Confidence = 1.0000
Image 1748: Predicted digit = 0, Confidence = 1.0000
Image 1749: Predicted digit = 0, Confidence = 0.8766
Image 1750: Predicted digit = 0, Confidence = 0.4148
Image 1751: Predicted digit = 0, Confidence = 1.0000
Image 1752: Predicted digit = 0, Confidence = 0.9688
Image 1753: Predicted digit = 0, Confidence = 1.0000
Image 1754: Predicted digit = 0, Confidence = 0.9551
Image 1755: Predicted digit = 0, Confidence = 0.9465
Image 1756: Predicted digit = 0, Confidence = 0.9921
Image 1757: Predicted digit = 0, Confidence = 0.9994
Image 1758: Predicted digit = 0, Confidence = 0.9430
Image 1759: Predicted digit = 0, Confidence = 0.9889
Image 1760: Predicted digit = 0, Confidence = 0.9999
Image 1761: Predicted digit = 0, Confidence = 0.8681
Image 1762: Predicted digit = 0, Confidence = 0.9999
Image 1763: Predicted digit = 0, Confidence = 0.9999
Image 1764: Predicted digit = 0, Confidence = 1.0000
Image 1765: Predicted digit = 0, Confidence = 0.9997
Image 1766: Predicted digit = 0, Confidence = 0.9967
Image 1767: Predicted digit = 0, Confidence = 0.9999
Image 1768: Predicted digit = 0, Confidence = 0.9998
Image 1769: Predicted digit = 0, Confidence = 0.9991
Image 1770: Predicted digit = 0, Confidence = 1.0000
Image 1771: Predicted digit = 0, Confidence = 1.0000
Image 1772: Predicted digit = 0, Confidence = 0.9950
Image 1773: Predicted digit = 0, Confidence = 0.8654
Image 1774: Predicted digit = 0, Confidence = 0.9937
Image 1775: Predicted digit = 0, Confidence = 0.9360
Image 1776: Predicted digit = 0, Confidence = 0.9995
Image 1777: Predicted digit = 0, Confidence = 0.9997
Image 1778: Predicted digit = 0, Confidence = 0.9983
Image 1779: Predicted digit = 0, Confidence = 0.9965
Image 1780: Predicted digit = 0, Confidence = 0.9998
Image 1781: Predicted digit = 0, Confidence = 0.9985
Image 1782: Predicted digit = 0, Confidence = 1.0000
Image 1783: Predicted digit = 0, Confidence = 0.9595
Image 1784: Predicted digit = 0, Confidence = 0.8818
Image 1785: Predicted digit = 0, Confidence = 1.0000
Image 1786: Predicted digit = 0, Confidence = 0.9766
Image 1787: Predicted digit = 0, Confidence = 0.9990
Image 1788: Predicted digit = 0, Confidence = 0.7188
Image 1789: Predicted digit = 0, Confidence = 0.9999
Image 1790: Predicted digit = 0, Confidence = 1.0000
Image 1791: Predicted digit = 0, Confidence = 0.9943
Image 1792: Predicted digit = 0, Confidence = 0.9957
Image 1793: Predicted digit = 0, Confidence = 0.9994
Image 1794: Predicted digit = 0, Confidence = 0.6181
Image 1795: Predicted digit = 0, Confidence = 0.9592
Image 1796: Predicted digit = 0, Confidence = 1.0000
Image 1797: Predicted digit = 0, Confidence = 1.0000
Image 1798: Predicted digit = 0, Confidence = 0.9999
Image 1799: Predicted digit = 0, Confidence = 0.9000
Image 1800: Predicted digit = 0, Confidence = 0.9977
Image 1801: Predicted digit = 0, Confidence = 0.9985
Image 1802: Predicted digit = 0, Confidence = 0.9999
Image 1803: Predicted digit = 0, Confidence = 0.9850
Image 1804: Predicted digit = 0, Confidence = 0.9999
Image 1805: Predicted digit = 0, Confidence = 0.8085
Image 1806: Predicted digit = 0, Confidence = 0.9959
Image 1807: Predicted digit = 0, Confidence = 0.9987
Image 1808: Predicted digit = 0, Confidence = 1.0000
Image 1809: Predicted digit = 0, Confidence = 0.9977
Image 1810: Predicted digit = 0, Confidence = 0.9872
Image 1811: Predicted digit = 0, Confidence = 0.9467
Image 1812: Predicted digit = 0, Confidence = 0.9999
Image 1813: Predicted digit = 0, Confidence = 0.9951
Image 1814: Predicted digit = 0, Confidence = 1.0000
Image 1815: Predicted digit = 0, Confidence = 0.1539
Image 1816: Predicted digit = 0, Confidence = 0.9993
Image 1817: Predicted digit = 0, Confidence = 0.7754
Image 1818: Predicted digit = 0, Confidence = 1.0000
Image 1819: Predicted digit = 0, Confidence = 0.9840
